,Movie,Year,Rating
0,The Shawshank Redemption,1994,9.2
1,The Godfather,1972,9.1
2,The Godfather: Part II,1974,9.0
3,The Dark Knight,2008,9.0
4,12 Angry Men,1957,8.9
5,Schindler's List,1993,8.9
6,The Lord of the Rings: The Return of the King,2003,8.9
7,Pulp Fiction,1994,8.8
8,"Il buono, il brutto, il cattivo",1966,8.8
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,Fight Club,1999,8.8
11,Forrest Gump,1994,8.8
12,Inception,2010,8.7
13,The Lord of the Rings: The Two Towers,2002,8.7
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,The Matrix,1999,8.6
16,Goodfellas,1990,8.6
17,One Flew Over the Cuckoo's Nest,1975,8.6
18,Shichinin no samurai,1954,8.6
19,Se7en,1995,8.6
20,La vita è bella,1997,8.6
21,Cidade de Deus,2002,8.6
22,The Silence of the Lambs,1991,8.6
23,It's a Wonderful Life,1946,8.6
24,Star Wars,1977,8.6
25,Saving Private Ryan,1998,8.6
26,The Green Mile,1999,8.5
27,Sen to Chihiro no kamikakushi,2001,8.5
28,Interstellar,2014,8.5
29,Gisaengchung,2019,8.5
30,Léon,1994,8.5
31,Seppuku,1962,8.5
32,The Usual Suspects,1995,8.5
33,The Lion King,1994,8.5
34,The Pianist,2002,8.5
35,Back to the Future,1985,8.5
36,Terminator 2: Judgment Day,1991,8.5
37,American History X,1998,8.5
38,Modern Times,1936,8.5
39,Psycho,1960,8.5
40,Gladiator,2000,8.5
41,City Lights,1931,8.5
42,The Departed,2006,8.5
43,The Intouchables,2011,8.5
44,Whiplash,2014,8.5
45,Hotaru no haka,1988,8.5
46,The Prestige,2006,8.5
47,Once Upon a Time in the West,1968,8.4
48,Casablanca,1942,8.4
49,Nuovo Cinema Paradiso,1988,8.4
50,Rear Window,1954,8.4
51,Alien,1979,8.4
52,Apocalypse Now,1979,8.4
53,Memento,2000,8.4
54,The Great Dictator,1940,8.4
55,Raiders of the Lost Ark,1981,8.4
56,Hamilton,2020,8.4
57,Django Unchained,2012,8.4
58,The Lives of Others,2006,8.4
59,Paths of Glory,1957,8.4
60,Joker,2019,8.4
61,WALL·E,2008,8.4
62,The Shining,1980,8.4
63,Avengers: Infinity War,2018,8.4
64,Sunset Blvd.,1950,8.4
65,Witness for the Prosecution,1957,8.4
66,Oldeuboi,2003,8.3
67,Mononoke-hime,1997,8.3
68,Spider-Man: Into the Spider-Verse,2018,8.3
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
70,The Dark Knight Rises,2012,8.3
71,Once Upon a Time in America,1984,8.3
72,Kimi no na wa.,2016,8.3
73,Aliens,1986,8.3
74,Coco,2017,8.3
75,Avengers: Endgame,2019,8.3
76,American Beauty,1999,8.3
77,Braveheart,1995,8.3
78,Capharnaüm,2018,8.3
79,Das Boot,1981,8.3
80,3 Idiots,2009,8.3
81,Toy Story,1995,8.3
82,Tengoku to jigoku,1963,8.3
83,Amadeus,1984,8.3
84,Inglourious Basterds,2009,8.3
85,Star Wars: Episode VI - Return of the Jedi,1983,8.3
86,Good Will Hunting,1997,8.3
87,Taare Zameen Par,2007,8.3
88,Reservoir Dogs,1992,8.3
89,2001: A Space Odyssey,1968,8.3
90,Requiem for a Dream,2000,8.3
91,Vertigo,1958,8.3
92,M - Eine Stadt sucht einen Mörder,1931,8.3
93,Jagten,2012,8.3
94,Eternal Sunshine of the Spotless Mind,2004,8.3
95,Citizen Kane,1941,8.3
96,Dangal,2016,8.3
97,Full Metal Jacket,1987,8.2
98,Ladri di biciclette,1948,8.2
99,Singin' in the Rain,1952,8.2
